1	-0.00003133
2	-0.00003800
3	-0.00004467
4	-0.00005134
5	-0.00005138
6	-0.00005143
7	-0.00022069
8	-0.00027310
9	-0.00032551
10	-0.00037792
11	-0.00037810
12	-0.00037827
13	-0.00037844
14	-0.00037844
15	-0.00037845
16	-0.00037845
17	-0.00037858
18	-0.00037870
19	-0.00080513
20	-0.00080514
21	-0.00086896
22	-0.00093277
23	-0.00099659
24	-0.00099708
25	-0.00099757
26	-0.00099806
27	-0.00170495
28	-0.00179429
29	-0.00188362
30	-0.00197296
31	-0.00197386
32	-0.00197476
33	-0.00250188
34	-0.00282323
35	-0.00314457
36	-0.00346592
37	-0.00346592
38	-0.00346592
39	-0.00346592
40	-0.00346806
41	-0.00347019
42	-0.00347233
43	-0.00347362
44	-0.00347491
45	-0.00347854
46	-0.00348218
47	-0.00348581
48	-0.00348936
49	-0.00349290
50	-0.00349296
51	-0.00349302
52	-0.00349308
53	-0.00349310
54	-0.00349312
55	-0.00349314
56	-0.00349314
57	-0.00390511
58	-0.00418051
59	-0.00445591
60	-0.00473132
61	-0.00473132
62	-0.00473132
63	-0.00473536
64	-0.00473939
65	-0.00474343
66	-0.00474344
67	-0.00474345
68	-0.00474345
69	-0.00474543
70	-0.00474740
71	-0.00474938
72	-0.00475292
73	-0.00475647
74	-0.00476001
75	-0.00476022
76	-0.00476343
77	-0.00476663
78	-0.00476672
79	-0.00476680
80	-0.00476689
81	-0.00618987
82	-0.00638680
83	-0.00658372
84	-0.00678064
85	-0.00678481
86	-0.00678897
87	-0.00679313
88	-0.00679340
89	-0.00679367
90	-0.00679394
91	-0.00679604
92	-0.00679814
93	-0.00740650
94	-0.00783776
95	-0.00826902
96	-0.00870027
97	-0.00870028
98	-0.00870028
99	-0.00870028
100	-0.00871086
101	-0.00872144
102	-0.00873203
103	-0.00873273
104	-0.00873273
105	-0.00873273
106	-0.00873728
107	-0.00874183
108	-0.00874353
109	-0.00874524
110	-0.00874695
111	-0.00874696
112	-0.00874696
113	-0.00874696
114	-0.00874722
115	-0.00874745
116	-0.00874769
117	-0.00874792
118	-0.00874795
119	-0.00874798
120	-0.00874801
121	-0.00875028
122	-0.00875256
123	-0.00917415
124	-0.00944121
125	-0.00970826
126	-0.00997531
127	-0.00997564
128	-0.00997597
129	-0.00997630
130	-0.00999158
131	-0.01000685
132	-0.01001161
133	-0.01001638
134	-0.01002114
135	-0.01002342
136	-0.01002571
137	-0.01002800
138	-0.01002802
139	-0.01002805
140	-0.01002808
141	-0.01002830
142	-0.01002853
143	-0.01002853
144	-0.01002853
145	-0.01002854
146	-0.01002854
147	-0.01043317
148	-0.01064903
149	-0.01086490
150	-0.01108076
151	-0.01108103
152	-0.01108331
153	-0.01108558
154	-0.01108785
155	-0.01108785
156	-0.01108786
157	-0.01109229
158	-0.01109672
159	-0.01110115
160	-0.01111353
161	-0.01112590
162	-0.01112596
163	-0.01112602
164	-0.01112608
165	-0.01112644
166	-0.01112680
167	-0.01112716
168	-0.01112905
169	-0.01113094
170	-0.01113284
171	-0.01153739
172	-0.01161914
173	-0.01170089
174	-0.01178264
175	-0.01178790
176	-0.01179316
177	-0.01179842
178	-0.01179910
179	-0.01245132
180	-0.01272467
181	-0.01299802
182	-0.01327138
183	-0.01328000
184	-0.01328863
185	-0.01330021
186	-0.01331178
187	-0.01332336
188	-0.01332434
189	-0.01332531
190	-0.01332628
191	-0.01332632
192	-0.01332636
193	-0.01332640
194	-0.01332720
195	-0.01332800
196	-0.01332880
197	-0.01332886
198	-0.01332892
199	-0.01332898
200	-0.01332904
201	-0.01332909
202	-0.01332910
203	-0.01368561
204	-0.01401134
205	-0.01433706
206	-0.01466278
207	-0.01468352
208	-0.01470426
209	-0.01472500
210	-0.01472500
211	-0.01472677
212	-0.01472678
213	-0.01472679
214	-0.01472680
215	-0.01473929
216	-0.01475179
217	-0.01475179
218	-0.01475179
219	-0.01475421
220	-0.01475663
221	-0.01475905
222	-0.01476166
223	-0.01476427
224	-0.01476687
225	-0.01476763
226	-0.01476840
227	-0.01476916
228	-0.01476917
229	-0.01476918
230	-0.01476928
231	-0.01476937
232	-0.01476947
233	-0.01477000
234	-0.01477053
235	-0.01477106
236	-0.01477187
237	-0.01477268
238	-0.01477349
239	-0.01477360
240	-0.01477372
241	-0.01477384
242	-0.01477390
243	-0.01477397
244	-0.01477397
245	-0.01477397
246	-0.01477397
247	-0.01477401
248	-0.01477405
249	-0.01477410
250	-0.01477410
251	-0.01549879
252	-0.01557777
253	-0.01565674
254	-0.01573572
255	-0.01574322
256	-0.01575072
257	-0.01625358
258	-0.01662689
259	-0.01700020
260	-0.01737351
261	-0.01739122
262	-0.01740894
263	-0.01742666
264	-0.01744708
265	-0.01746750
266	-0.01746992
267	-0.01747226
268	-0.01747460
269	-0.01747693
270	-0.01747795
271	-0.01747897
272	-0.01747998
273	-0.01748050
274	-0.01748102
275	-0.01748154
276	-0.01748166
277	-0.01748177
278	-0.01748189
279	-0.01748199
280	-0.01748209
281	-0.01748219
282	-0.01748220
283	-0.01748221
284	-0.01748255
285	-0.01748255
286	-0.01748256
287	-0.01748256
288	-0.01748256
289	-0.01748498
290	-0.01748740
291	-0.01748982
292	-0.01748991
293	-0.01749000
294	-0.01749009
295	-0.01749011
296	-0.01749013
297	-0.01749015
298	-0.01749212
299	-0.01749409
300	-0.01749409
301	-0.01749409
302	-0.01749409
303	-0.01749447
304	-0.01749484
305	-0.01775615
306	-0.01793764
307	-0.01811912
308	-0.01830060
309	-0.01830651
310	-0.01831242
311	-0.01831833
