nv,correlation energy
100,-0.01025
150,-0.01321
200,-0.01601
250,-0.01872
300,-0.02119
350,-0.02296
400,-0.02496
450,-0.02546
500,-0.02748
550,-0.02857
600,-0.02900
650,-0.03012
700,-0.03056
750,-0.03118
780,-0.03157
800,-0.03190
820,-0.03204
